abundance,growth_rate,reactions,metabolites,taxon,tradeoff,sample_id
0.04359504132231405,0.00010796428901056751,2274,1386,g__Akkermansia,0.9,1200960000
0.03305785123966942,5.237022038636715,2650,1613,g__Alistipes,0.9,1200960000
0.01115702479338843,0.009400791833541386,2034,1491,g__Anaerostipes,0.9,1200960000
0.49896694214876036,0.2368416580698225,3307,1887,g__Bacteroides,0.9,1200960000
0.007231404958677686,0.014121977844027219,1386,1194,g__Bilophila,0.9,1200960000
0.0018595041322314052,0.03197277768853505,1915,1442,g__Butyricicoccus,0.9,1200960000
0.001652892561983471,0.045099226648002005,2629,1587,g__Collinsella,0.9,1200960000
0.027272727272727275,4.320386115181023,1187,1056,g__Dialister,0.9,1200960000
0.17603305785123968,0.000256558370931689,1986,1472,g__Faecalibacterium,0.9,1200960000
0.0028925619834710746,0.01654815620746788,1585,1192,g__Holdemanella,0.9,1200960000
0.006818181818181819,0.007020912407857119,1163,1052,g__Lachnospira,0.9,1200960000
0.00020661157024793388,0.0979900182585331,1088,982,g__Mobiluncus,0.9,1200960000
0.019834710743801654,0.9745797862120551,2870,1747,g__Parabacteroides,0.9,1200960000
0.0006198347107438017,0.41728617468216106,1019,945,g__Phascolarctobacterium,0.9,1200960000
0.0008264462809917355,0.0736564434734143,2896,1822,g__Streptococcus,0.9,1200960000
0.16611570247933885,0.0008824045233498769,1731,1301,g__Subdoligranulum,0.9,1200960000
0.0018595041322314052,0.051327615972291324,2135,1307,g__Tyzzerella,0.9,1200960000
0.0005070993914807303,0.074779297691852,2445,1643,g__Actinomyces,0.9,1201305600
0.10243407707910751,3.6670797591257315e-05,2274,1386,g__Akkermansia,0.9,1201305600
0.034229208924949295,7.097110338758596,2650,1613,g__Alistipes,0.9,1201305600
0.004310344827586207,0.008556234634379071,2034,1491,g__Anaerostipes,0.9,1201305600
0.699290060851927,0.1833937768563583,3307,1887,g__Bacteroides,0.9,1201305600
0.02865111561866126,0.0005243777613138976,1386,1194,g__Bilophila,0.9,1201305600
0.002281947261663286,0.0071220290196928725,1915,1442,g__Butyricicoccus,0.9,1201305600
0.00025354969574036516,0.03371842279932975,2629,1587,g__Collinsella,0.9,1201305600
0.014705882352941178,3.049386247305053,1187,1056,g__Dialister,0.9,1201305600
